id,userId,fcmToken,deviceInfo,createdAt,updatedAt
fc181c82-5746-477e-bac2-6fe7ab73c76a,8dbca25f-e975-47a9-99d9-ed123857f889,fcm_4780843a-41b7-404a-a7df-80c904afb1f8,Android,2025-12-04T20:21:07.666047,2025-12-04T20:21:07.666073
ffbe3b44-b442-4667-9cd4-55e13f28270a,0179a87b-f36c-42a9-a729-3ea896d1df7a,fcm_4b7cfbad-8998-4605-808b-ea6b794eea24,Android,2025-12-04T20:21:07.666096,2025-12-04T20:21:07.666104
4ead0cc5-1b8b-4d8b-8d15-6d5028aaa61f,65b78b12-68da-404e-a35f-6338f00a8f73,fcm_aad28d2f-9e61-432c-a584-d9a9c0df2f5f,Android,2025-12-04T20:21:07.666119,2025-12-04T20:21:07.666124
cbfc4af2-0a80-4ed3-9c7f-f16ec5a0236a,1da8593e-02b7-491e-b7a7-62250b29a6b1,fcm_c0047ab3-10cd-4a05-9674-7065a3461382,Android,2025-12-04T20:21:07.666153,2025-12-04T20:21:07.666159
9bdfffff-0c38-41ef-a82a-2529f2d4657d,c1d489bb-e6ea-45d0-ab40-d7f8335b5381,fcm_604cd671-eef3-4a4d-9202-95f9d0534be8,Android,2025-12-04T20:21:07.666174,2025-12-04T20:21:07.666178
20481283-a83a-4bdc-94a5-94ed1143c718,3fe9d90f-2f13-4941-a1cc-06e34d353efe,fcm_4fb89a70-c92f-4e2d-b599-601fa4f94f39,Android,2025-12-04T20:21:07.666212,2025-12-04T20:21:07.666220
005bade4-99d5-4b1e-9277-3d6c4f156832,82efa484-daaf-493f-96c8-facf311820e9,fcm_7d3f62e8-7f04-4c8f-a79f-cd90687e302c,Android,2025-12-04T20:21:07.666236,2025-12-04T20:21:07.666240
6371ed81-fa72-426e-bbfd-c8f8c26541fa,57976b26-754c-418d-b8ad-008f7d9fc0f4,fcm_d5dc7975-4a5f-4230-bb04-1c7c88eb5916,Android,2025-12-04T20:21:07.666255,2025-12-04T20:21:07.666259
19ed711b-d315-452f-a3d8-8ed7cd4900dd,6b72e080-9262-47ce-b766-c71d8fa1c437,fcm_b8113bcf-3438-4a59-ba58-f511f8e2d7aa,Android,2025-12-04T20:21:07.666272,2025-12-04T20:21:07.666279
f4484c88-66c6-42ad-bfa7-10d021dcb850,f8d75557-d896-4d12-8a70-bb256ca3fa63,fcm_c6b0f803-c354-40f3-b7eb-c5b6fff16261,Android,2025-12-04T20:21:07.666295,2025-12-04T20:21:07.666301
9bfa485c-03e5-4e94-8590-1bb58eebf7cf,15cb61f5-8248-4d81-9d4d-8fcd14df22df,fcm_9559a734-1d44-4913-92a9-a6e7e91d9704,Android,2025-12-04T20:21:07.666317,2025-12-04T20:21:07.666323
d56f2923-dfec-465c-b8b7-7943f39a1d2a,38c2ab68-2d14-4a2b-bfa5-b5b9ea28e309,fcm_fdd065ff-0a26-4ebc-978d-74c3ab4cf0e4,Android,2025-12-04T20:21:07.666338,2025-12-04T20:21:07.666343
b60005d5-cf62-4c49-a9de-c5da486822ae,46297aa1-5106-4a02-a75e-8a0183d03a77,fcm_b690574d-7acc-4402-ae66-66db0e763ce4,Android,2025-12-04T20:21:07.666364,2025-12-04T20:21:07.666370
58b74328-208a-454a-89fb-ab5312944b2b,1716c76a-decb-483d-82d5-9812d44aafeb,fcm_d76ba152-e0ca-4be4-95e5-4b017f4a8637,Android,2025-12-04T20:21:07.666404,2025-12-04T20:21:07.666415
532727d3-26cc-4e21-98ce-d9005141339c,06087538-e842-430e-a958-71aef0a0d721,fcm_2c0c0add-3b97-4473-8613-83742c42f55c,Android,2025-12-04T20:21:07.666434,2025-12-04T20:21:07.666440
614d3741-d51c-416c-9302-bd0bf029bfa8,075886ca-364c-4d81-a8eb-6393f0f13df5,fcm_94c52d80-ad7d-49de-870c-f9fb6b764592,Android,2025-12-04T20:21:07.666460,2025-12-04T20:21:07.666466
